Heure,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi
08:00,Physique@Salle A,Mathématiques@Salle A,,Mathématiques@Salle A,SII@Salle A,
08:30,Physique@Salle A,Mathématiques@Salle A,,Mathématiques@Salle A,SII@Salle A,
09:00,Physique@Salle A,Mathématiques@Salle A,TD SII G2@S302,Mathématiques@Salle A,Mathématiques@Salle A,
09:30,Physique@Salle A,Mathématiques@Salle A,TD SII G2@S302,Mathématiques@Salle A,Mathématiques@Salle A,
10:15,Mathématiques@Salle A,Anglais G1+G2@S100,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
10:45,Mathématiques@Salle A,Anglais G1+G2@S100,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
11:15,Mathématiques@Salle A,Anglais G1+G2@S100,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
11:45,Mathématiques@Salle A,,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
12:15,,,,,,
12:45,,,,,,
13:15,,,,,,
13:45,,TP Phys. G2@G207,,,,
14:15,Mathématiques@Salle A,TP Phys. G2@G207,,Français-Philosophie@Salle A,TD Info G2@H207,
14:45,Mathématiques@Salle A,TP Phys. G2@G207,,Français-Philosophie@Salle A,TD Info G2@H207,
15:15,Mathématiques@Salle A,,,Français-Philosophie@Salle A,TD Info G2@H207,
15:45,Mathématiques@Salle A,,,Français-Philosophie@Salle A,TD Info G2@H207,
16:20,,TD Maths G2@Salle A,,,TD Phys. G2@Salle A,
16:50,,TD Maths G2@Salle A,,,TD Phys. G2@Salle A,
17:20,,TD Maths G2@Salle A,,,TD Phys. G2@Salle A,
17:50,,TD Maths G2@Salle A,,,,
